"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"28","스테이킹","서울특별시 종로구 서린동 55-2번지 청계천로 보행전용거리 ","","2017-03-22","운영중","","","","","11.20","110110","","","2017","N","11.2","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00063","영업","2018-04-26"
"1","하이5이브","서울특별시 영등포구 여의도동 8번지 ","서울특별시 영등포구 여의동로 330 (여의도동 여의도 한강공원 물빛광장(89주9836))","2016-07-21","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00284","영업","2018-04-26"
"2","스타빅","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(92버7441) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(92버7441))","2016-07-21","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00286","영업","2018-04-26"
"3","냠냠쩝쩝","강원도 평창군 대관령면 134-1번지 대관령눈꽃축제장 ","강원도 평창군 대관령면 사부랑길 62-2 (대관령눈꽃축제장)","2016-07-21","운영중","","","","","9.00","232950","","","2016","N","9","휴게음식점","푸드트럭","","","351050.74802300000  ","467410.01118300000  ","3180000-104-2016-00289","영업","2018-04-26"
"4","닥가게(80로4845)","서울특별시 마포구 성산동 390-1번지 ","서울특별시 마포구 월드컵로 243-48 (성산동 평화의공원내)","2016-10-06","운영중","","","","","10.00","121850","","","2016","N","10","휴게음식점","푸드트럭","","","190980.13383800000  ","451531.59051000000  ","3130000-104-2016-00325","영업","2018-04-26"
"5","슈퍼스트라이크","","서울특별시 영등포구 여의동로 343 (여의도동 (98러2576))","2016-08-23","운영중","","","","","9.00","","","","2016","N","9","휴게음식점","푸드트럭","","","194065.63500800000  ","447512.33888900000  ","3180000-104-2016-00322","영업","2018-04-26"
"27","랜드마크 (LANDMARK)","서울특별시 종로구 서린동 55-2번지 청계천로보행자전용거리 ","","2017-03-22","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00060","영업","2018-04-26"
"6","국가대표 트럭","서울특별시 성동구 사근동 110번지 ","서울특별시 성동구 왕십리로 222 1층 (사근동 한양대학교 생활과학대학교앞(92주6464))","2016-08-29","운영중","","","","","10.00","133817","","","2016","N","10","휴게음식점","푸드트럭","","","204410.37308000000  ","451211.86396500000  ","3030000-104-2016-00135","영업","2018-04-26"
"7","착햄","서울특별시 영등포구 여의도동 86-7번지 여의도한강공원민속놀이마당(83모7926) ","","2017-04-06","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194794.056976       ","446552.633063       ","3180000-104-2017-00101","영업","2018-04-26"
"8","냠냠떡볶이","서울특별시 서초구 양재동 316-10번지 양재시민의숲 3번출구 앞 ","","2017-04-03","운영중","","","","","10.00","137896","","","2017","N","10","휴게음식점","푸드트럭","","","203431.158612       ","440832.31677        ","3210000-104-2017-00130","영업","2018-04-26"
"9","팬더그릴(Pan the grill)","서울특별시 영등포구 여의도동 8번지 물빛광장(89모1083) ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장(89모1083))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00059","영업","2018-04-26"
"10","까리한청년들","서울특별시 영등포구 여의도동 8번지 물빛광장(85머5112) ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장(85머5112))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00061","영업","2018-04-26"
"11","오빠트럭","서울특별시 영등포구 여의도동 8번지 물빛광장80다9996 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장80다9996)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00062","영업","2018-04-26"
"12","톡투미다밥협동조합","서울특별시 영등포구 여의도동 8번지 물빛광장94보4365 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장94보4365)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","070-7784-7579","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00063","영업","2018-04-26"
"13","러브디아","서울특별시 영등포구 여의도동 8번지 물빛광장86모8836 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장86모8836)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00064","영업","2018-04-26"
"14","욜로(YOLO)","서울특별시 영등포구 여의도동 8번지 물빛광장(경기86거3455) ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장(경기86거3455))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00065","영업","2018-04-26"
"15","멕시드라이버","서울특별시 영등포구 여의도동 8번지 물빛광장80우6569 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장80우6569)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00066","영업","2018-04-26"
"16","더트럭오브서프독","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(80거1831) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(80거1831))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00067","영업","2018-04-26"
"17","판타스테이크","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(86버7752) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(86버7752))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00068","영업","2018-04-26"
"18","안다미로","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(81마1559) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(81마1559))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00069","영업","2018-04-26"
"19","무빙키친","서울특별시 영등포구 여의도동 8번지 물빛광장87오8974 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장87오8974)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00070","영업","2018-04-26"
"20","업스키친","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(89구4348) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(89구4348))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00075","영업","2018-04-26"
"21","춘천가는기차","서울특별시 영등포구 여의도동 8번지 물빛공원91주1390 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛공원91주1390)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00072","영업","2018-04-26"
"22","키다리푸드트럭","서울특별시 영등포구 여의도동 8번지 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장 82부 9085)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00073","영업","2018-04-26"
"23","불빠닭","서울특별시 영등포구 여의도동 8번지 물빛광장91노3305 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장91노3305)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","02-1800-7981","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00074","영업","2018-04-26"
"24","트럭에이(TRUCK A)","서울특별시 영등포구 여의도동 8번지 물빛광장 80더8431 ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장 80더8431)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00077","영업","2018-04-26"
"25","츄러스홀릭","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(91도 4343) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(91도 4343))","2017-04-11","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00105","영업","2018-04-26"
"26","알키미아","서울특별시 종로구 서린동 55-2번지 청계천로 보행전용거리 ","","2017-03-22","운영중","","","","","4.90","110110","","","2017","N","4.9","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00059","영업","2018-04-26"
"29","고릴라바베큐","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","2017-03-22","운영중","","","","","11.20","110110","","","2017","N","11.2","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00064","영업","2018-04-26"
"30","Bro","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","2017-03-22","운영중","","","","","10.00","110110","","","2017","N","10","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00065","영업","2018-04-26"
"31","허클베리핀","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","2017-03-22","운영중","","","","","10.00","110110","","","2017","N","10","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00066","영업","2018-04-26"
"32","고메트럭","서울특별시 영등포구 여의도동 8번지 물빛광장(99더1881) ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장(99더1881))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00054","영업","2018-04-26"
"33","세자매푸드트레일러","서울특별시 영등포구 여의도동 8번지 물빛광장(84어0527) ","서울특별시 영등포구 여의동로 330 (여의도동 물빛광장(84어0527))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00055","영업","2018-04-26"
"34","그릴마스터","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장 ","서울특별시 영등포구 여의동로 330 여의도한강공원 물빛광장 (여의도동)","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00056","영업","2018-04-26"
"35","멜츠비(MELTSBY)","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(87무7813) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(87무7813))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00057","영업","2018-04-26"
"36","문어빵제작소","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(81다8757) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(81다8757))","2017-03-22","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00058","영업","2018-04-26"
"37","타코야끼","서울특별시 금천구 가산동 707번지 안양천어린이물놀이장 ","","2017-07-06","운영중","","","","","5.03","153803","","","2017","N","5.03","휴게음식점","푸드트럭","","","189790.625084       ","440367.513096       ","3170000-104-2017-00061","영업","2018-04-26"
"38","오마이팟","서울특별시 금천구 가산동 707번지 안양천어린이물놀이장 ","","2017-07-06","운영중","","","","","8.84","153803","","","2017","N","8.84","휴게음식점","푸드트럭","","02-2675-3842","189790.625084       ","440367.513096       ","3170000-104-2017-00062","영업","2018-04-26"
"39","아빠스","서울특별시 서초구 반포동 115-5번지 반포한강공원 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원)","2017-06-27","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00287","영업","2018-04-26"
"40","제이스푸드","서울특별시 금천구 가산동 707번지 안양천어린이물놀이장 ","","2017-07-04","운영중","","","","","9.16","153803","","","2017","N","9.16","휴게음식점","푸드트럭","","","189790.625084       ","440367.513096       ","3170000-104-2017-00056","영업","2018-04-26"
"41","나이스츄미츄","서울특별시 금천구 가산동 707번지 안양천어린이물놀이장 ","","2017-07-04","운영중","","","","","9.65","153803","","","2017","N","9.65","휴게음식점","푸드트럭","","","189790.625084       ","440367.513096       ","3170000-104-2017-00057","영업","2018-04-26"
"42","앤디캔디솜사탕","서울특별시 서초구 서초동 1318-8번지 강남역 9번 10번 출구 외 2개소 ","서울특별시 서초구 강남대로 399 (서초동 강남역 9번 10번 출구 외 2개소)","2016-05-03","운영중","","","","","10.00","137856","","","2016","N","10","휴게음식점","푸드트럭","","","202373.60862600000  ","444312.08637300000  ","3210000-104-2016-00177","영업","2018-04-26"
"43","오빠손맛","서울특별시 영등포구 여의도동 8번지 여의도 한강공원 물빛광장(84어2977) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도 한강공원 물빛광장(84어2977))","2016-05-24","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00168","영업","2018-04-26"
"44","꼬닐스핫도그","서울특별시 서초구 서초동 1318-11번지 강남역 910번 출구 ","","2016-05-12","운영중","","","","","10.00","137856","","","2016","N","10","휴게음식점","푸드트럭","","","202324.713141       ","443985.094905       ","3210000-104-2016-00196","영업","2018-04-26"
"45","푸렌즈푸드","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(87무8592) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(87무8592))","2016-07-22","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00290","영업","2018-04-26"
"46","셰프스토리","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(81저8320) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(81저8320))","2016-07-22","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00292","영업","2018-04-26"
"47","올리베떼카페","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(87수2099) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(87수2099))","2016-07-22","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00293","영업","2018-04-26"
"48","올리베떼그릴","서울특별시 영등포구 여의도동 8번지 여의도 한강공원 물빛광장(86버9909) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도 한강공원 물빛광장(86버9909))","2016-07-22","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00294","영업","2018-04-26"
"49","왕의 꼬치","서울특별시 서초구 서초동 1318-11번지 강남역 910번 출구 ","","2016-08-19","운영중","","","","","10.00","137856","","","2016","N","10","휴게음식점","푸드트럭","","","202324.713141       ","443985.094905       ","3210000-104-2016-00336","영업","2018-04-26"
"50","그릴룸","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(89주7998) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(89주7998))","2016-07-22","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00295","영업","2018-04-26"
"51","마피아츄러스","서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ","서울특별시 양천구 안양천로 939 (목동 목동야구장 앞 주차장)","2016-07-22","운영중","","","","","9.00","158050","","상수도전용","2016","N","9","휴게음식점","푸드트럭","","","189660.59285900000  ","447921.37917100000  ","3140000-104-2016-00177","영업","2018-04-26"
"52","포크블랙","서울특별시 마포구 상암동 487-116번지 난지안내센터앞 잔디마당 ","서울특별시 마포구 한강난지로 162 (상암동 난지안내센터앞 잔디마당)","2016-08-18","운영중","","","","","8.33","121832","","","2016","N","8.33","휴게음식점","푸드트럭","","","189884.62721200000  ","451498.84060300000  ","3130000-104-2016-00283","영업","2018-04-26"
"53","정가네","서울특별시 서초구 우면동 143번지 양재천 무지개다리인근 ","","2016-07-12","운영중","","","","","10.00","137901","","","2016","N","10","휴게음식점","푸드트럭","","","202569.372273       ","440714.608506       ","3210000-104-2016-00279","영업","2018-04-26"
"54","얼라이브","서울특별시 중구 을지로7가 2-1번지 ","서울특별시 중구 을지로 281 1층 (을지로7가)","2016-06-28","운영중","","","","","3.30","100197","","","2016","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2016-00204","영업","2018-04-26"
"55","먹구가자","서울특별시 서초구 반포동 123번지 성모병원 앞 ","","2016-11-30","운영중","","","","","10.00","137040","","","2016","N","10","휴게음식점","푸드트럭","","","200389.435825       ","444438.466255       ","3210000-104-2016-00466","영업","2018-04-26"
"56","원더트럭","서울특별시 중구 무교동 45번지 서울시청삼거리~모전교 제3회서울김장문화제 ","서울특별시 중구 무교로 21 (무교동 서울시청삼거리~모전교 제3회서울김장문화제)","2016-10-26","운영중","","","","","9.50","100170","","","2016","N","9.5","휴게음식점","푸드트럭","","","198122.00197800000  ","452035.38569100000  ","3010000-104-2016-00333","영업","2018-04-26"
"57","오!맛난집","서울특별시 서초구 서초동 1318-8번지 강남역 9번10번출구 서초초등학교 앞 지오다노 앞 ","서울특별시 서초구 강남대로 399 (서초동 강남역 9번10번출구 외 2개소 )","2016-12-01","운영중","","","","","10.00","137856","","","2016","N","10","휴게음식점","푸드트럭","","","202373.60862600000  ","444312.08637300000  ","3210000-104-2016-00468","영업","2018-04-26"
"58","신가네","서울특별시 중구 필동2가 84-1번지 남산한옥마을 전통공원 내 임대자가 지정한 위치 ","서울특별시 중구 퇴계로34길 28 (필동2가 남산한옥마을 전통공원 내 임대자가 지정한 위치)","2017-02-20","운영중","","","","","10.00","100272","","","2017","N","10","휴게음식점","푸드트럭","","","199549.50101600000  ","451119.82859000000  ","3010000-104-2017-00046","영업","2018-04-26"
"59","달달한형제들","서울특별시 강남구 삼성동 159번지 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스 동측광장)","2017-03-30","운영중","","","","","5.00","135090","","","2017","N","5","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00193","영업","2018-04-26"
"60","오빠손맛","서울특별시 강남구 삼성동 159번지 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스 동측광장)","2017-03-30","운영중","","","","","10.00","135090","","","2017","N","10","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00195","영업","2018-04-26"
"61","일호만두","서울특별시 강남구 삼성동 159번지 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스 동측광장)","2017-03-30","운영중","","","","","10.00","135090","","","2017","N","10","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00196","영업","2018-04-26"
"62","사쿠라데쓰","서울특별시 종로구 서린동 43-3번지 청계천로보행전용거리 ","","2017-04-13","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00086","영업","2018-04-26"
"63","티키타코","서울특별시 종로구 서린동 43-3번지 청계천로보행전용거리 ","","2017-04-13","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00087","영업","2018-04-26"
"64","츄앤츄(푸드트럭)","서울특별시 송파구 신천동 32번지 ","서울특별시 송파구 잠실로 180 (신천동 송파관광정보센터와 롯데월드몰 사잇길 중 푸드코트 구역)","2017-03-17","운영중","","","","","10.00","138934","","","2017","N","10","휴게음식점","푸드트럭","","","209174.11076800000  ","445816.78735300000  ","3230000-104-2017-00087","영업","2018-04-26"
"65","알피(ALPI)","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00099","영업","2018-04-26"
"66","서울맛차2","서울특별시 중구 을지로7가 21-1번지 DDP팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00100","영업","2018-04-26"
"67","서울맛차1","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00101","영업","2018-04-26"
"68","푸디어올치","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00102","영업","2018-04-26"
"69","두놈","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00103","영업","2018-04-26"
"70","LED꿈꾸는솜사탕","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","10.00","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00105","영업","2018-04-26"
"71","타이완 큐브스테이크","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-23","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00106","영업","2018-04-26"
"72","한입만 푸드트럭","서울특별시 송파구 잠실동 10-1번지 ","서울특별시 송파구 올림픽로 25 (잠실동 잠실종합운동장 축구장 내)","2017-04-17","운영중","","","","","3.30","138889","","","2017","N","3.3","휴게음식점","푸드트럭","","","206769.66083200000  ","446304.78407800000  ","3230000-104-2017-00154","영업","2018-04-26"
"73","셰프리푸드트럭","서울특별시 송파구 방이동 88번지 ","서울특별시 송파구 올림픽로 424 (방이동 올림픽공원내)","2017-04-17","운영중","","","","","9.00","138829","","","2017","N","9","휴게음식점","푸드트럭","","","211493.64253400000  ","447159.31817300000  ","3230000-104-2017-00156","영업","2018-04-26"
"74","리틀하바나","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(83나8061) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(83나8061))","2017-03-23","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00079","영업","2018-04-26"
"75","핑크피그","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(86소5488) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(86소5488))","2017-03-23","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00080","영업","2018-04-26"
"76","구레잇!(9reat!)","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(91어7240) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(91어7240))","2017-03-23","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00082","영업","2018-04-26"
"77","티키타코","서울특별시 영등포구 여의도동 86-7번지 여의도한강공원 민속놀이마당 일원 ","","2017-04-07","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194794.056976       ","446552.633063       ","3180000-104-2017-00103","영업","2018-04-26"
"78","누나네곱창","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-28","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00107","영업","2018-04-26"
"79","베스트 푸드","서울특별시 서초구 양재동 12-9번지 양재역 5번출구 앞 ","","2017-04-25","운영중","","","","","10.00","137887","","","2017","N","10","휴게음식점","푸드트럭","","","203035.132757       ","442466.387592       ","3210000-104-2017-00188","영업","2018-04-26"
"80","한입야끼","서울특별시 중구 태평로1가 31번지 ","서울특별시 중구 세종대로 110 (태평로1가 1층 서울광장)","2015-12-18","운영중","","","","","9.00","100101","","","2015","N","9","휴게음식점","푸드트럭","","","198089.58976900000  ","451906.65903700000  ","3010000-104-2015-00249","영업","2018-04-26"
"81","슈퍼스트림","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-22","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00076","영업","2018-04-26"
"82","왓쌈","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-22","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00077","영업","2018-04-26"
"83","MEX-TAKE","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리광장)","2017-03-22","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00078","영업","2018-04-26"
"84","우주전복","서울특별시 중구 을지로7가 2-1번지 DDP 팔거리 광장 ","서울특별시 중구 을지로 281 (을지로7가 DDP 팔거리 광장)","2017-03-22","운영중","","","","","3.30","100197","","","2017","N","3.3","휴게음식점","푸드트럭","","","201010.26252700000  ","451995.16305800000  ","3010000-104-2017-00079","영업","2018-04-26"
